,31/10/2021,30/11/2021,31/12/2021,31/01/2022,28/02/2022,31/03/2022,30/04/2022,31/05/2022,30/06/2022,31/07/2022,31/08/2022,30/09/2022,31/10/2022,30/11/2022,31/12/2022
DQ_0_Housing,22.0,28.0,45.0,65.0,90.0,132.0,170.0,198.0,224.0,334.0,536.0,782.0,966.0,1171.0,1347.0
DQ_X_Housing,,,,,,,,,1.0,,2.0,,1.0,2.0,1.0
DQ_30_Housing,,,,,,,,,1.0,2.0,1.0,3.0,1.0,1.0,3.0
DQ_60_Housing,,,,,,,,,,,,,2.0,,1.0
DQ_90_Housing,,,,,,,,,,,,,,1.0,1.0
DQ_0_secured,26.0,40.0,69.0,96.0,131.0,202.0,262.0,307.0,361.0,536.0,859.0,1230.0,1533.0,1898.0,2194.0
DQ_X_secured,,,,,,,,,1.0,1.0,2.0,1.0,3.0,4.0,4.0
DQ_30_secured,,,,,,,,,1.0,1.0,,2.0,,1.0,3.0
DQ_60_secured,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0
DQ_90_secured,,,,,,,,,,,,,1.0,1.0,1.0
DQ_0_Unsecured,144.0,278.0,407.0,531.0,667.0,840.0,1023.0,1192.0,1398.0,1640.0,1925.0,2192.0,2410.0,2694.0,2918.0
DQ_X_Unsecured,,,,,1.0,,1.0,3.0,4.0,,4.0,5.0,,9.0,
DQ_30_Unsecured,,,,,,2.0,,,2.0,4.0,,2.0,7.0,,8.0
DQ_60_Unsecured,,,,,,,1.0,,,4.0,2.0,,3.0,2.0,5.0
DQ_90_Unsecured,,,,,,,,1.0,1.0,1.0,5.0,6.0,6.0,7.0,6.0
DQ_0_MSME,,,,,,,,,,2.0,3.0,3.0,5.0,4.0,4.0
DQ_X_MSME,,,,,,,,,,,,,,1.0,
DQ_30_MSME,,,,,,,,,,,,,,,1.0
DQ_0_HF_Balance,35818464.150000006,49372924.27,90593734.61,138554804.0,182045300.69999996,250506077.50999996,312818426.43999994,371704356.6499999,415988614.6299998,605734949.7099998,977634153.2100002,1435106426.579999,1787417096.3800023,2115855902.9200025,2433346560.919998
DQ_30_HF_Balance,,,,,,,,,6981267.45,10959684.98,6976390.64,15929132.2,6970533.52,6968082.77,9875046.5
DQ_60_HF_Balance,,,,,,,,,,,,,8953601.6,,6968082.77
DQ_90_HF_Balance,,,,,,,,,,,,,,3979078.33,3979078.33
DQ_X_HF_Balance,,,,,,,,,3981897.26,,8957219.77,,2450000.0,7410573.34,2455481.68
DQ_0_SF_Balance,12874368.97,23383613.4,35566173.97,48705191.0,63975342.429999985,99501974.15999998,124439813.07999998,141755244.06000006,168125915.71,252895447.23999992,399961307.9099997,580989721.7600003,736768492.5600005,913613142.5300001,1041221384.6299994
DQ_30_SF_Balance,,,,,,,,,112807.45,93499.22,,144642.72,,120307.49,310433.32
DQ_60_SF_Balance,,,,,,,,,,112807.45,93499.22,92802.9,112621.87,,31026.02
DQ_90_SF_Balance,,,,,,,,,,,,,92802.9,92802.9,92802.9
DQ_X_SF_Balance,,,,,,,,,93499.22,692429.2,246020.85,1495345.57,2014067.0999999999,809602.02,951165.44
DQ_0_UF_Balance,30707629.4,56956707.87,83085466.70000003,108018620.0,138070999.24999997,173559496.19999993,213902831.0799999,252158865.39000022,296523041.5600006,346414418.2300005,405410441.3699994,466166410.830001,513533253.27999955,572483664.8999993,615322399.9400012
DQ_30_UF_Balance,,,,,,294149.11,,,171075.32,619838.7,,382801.33,1104979.77,,864866.75
DQ_60_UF_Balance,,,,,,,194871.03,,,284242.38999999996,377474.01,,570666.68,374294.12,709957.24
DQ_90_UF_Balance,,,,,,,,194871.03,192746.44,192746.44,476988.82999999996,563232.33,561720.14,751889.54,665103.62
DQ_X_UF_Balance,,,,,100000.0,,98230.14,268300.39,358663.61,,463422.08999999997,886142.6499999999,,861597.5800000001,
DQ_0_MF_Balance,,,,,,,,,,120000.0,168686.3,166700.56,264675.62,212139.66000000003,209447.25
DQ_30_MF_Balance,,,,,,,,,,,,,,,50000.0
DQ_60_MF_Balance,,,,,,,,,,,,,,,
DQ_90_MF_Balance,,,,,,,,,,,,,,,
DQ_X_MF_Balance,,,,,,,,,,,,,,50000.0,
OS_Housing,35818464.15,49372924.269999996,90593734.61000001,138554804.0,182045300.7,250506077.51000002,312818426.44,371704356.65,426951779.34,616694634.69,993567763.6199999,1451035558.7799997,1805791231.5,2134213637.3600001,2456624250.2
OS_secured,12874368.969999999,23383613.4,35566173.97,48705191.0,63975342.43,99501974.16,124439813.08,141755244.06,168332222.38,253794183.10999998,400300827.98,582722512.95,738987984.4300001,914635854.9399999,1042606812.31
OS_Unsecured,30707629.4,56956707.870000005,83085466.69999999,108018620.0,138170999.25,173853645.31,214195932.25,252622036.81,297245526.92999995,347511245.76,406728326.29999995,467998587.14000005,515770619.87,574471446.1399999,617562327.55
OS_MSME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,168686.3,166700.56,264675.62,262139.66000000003,259447.25
